"idx_condition","idx_trial","T_fm","T_fu","T_rm","T_ru","R_fm","R_fu","R_rm","R_ru","f_halt","r_halt","n_items"
1,1,0,0,0,0,0,0,0,0,3,4,8
2,1,0,0,0,0,0,0,0,0,4,4,8
3,1,4,0,4,0,2,0,1,0,4,4,8
4,1,3,0,3,0,3,0,1,0,3,4,8
5,1,1,1,1,1,1,1,1,1,2,4,8
6,1,1,1,1,1,1,1,1,1,1,4,8
7,1,1,1,1,1,1,1,1,1,4,5,8
8,1,1,1,1,1,1,1,1,1,3,4,8
9,1,1,1,1,1,1,1,1,1,1,4,8
10,1,1,1,1,1,2,1,1,1,1,4,8
11,1,1,1,1,1,1,1,1,1,3,4,8
12,1,1,1,1,1,1,1,1,1,2,3,8
13,1,1,1,1,1,1,1,1,1,3,4,8
14,1,1,1,1,1,1,1,1,1,1,4,8
15,1,2,1,4,1,1,1,1,1,4,4,8
16,1,3,1,4,1,3,1,3,1,3,4,8
17,1,1,1,2,1,1,1,2,1,1,5,8
18,1,1,1,1,1,1,1,4,1,1,5,8
19,1,2,1,5,1,1,1,1,1,4,5,8
20,1,2,1,4,1,-1,1,2,1,3,4,8
21,1,2,2,2,2,2,2,2,2,3,5,8
22,1,2,2,2,2,2,2,2,2,2,4,8
23,1,2,2,2,2,2,2,2,2,2,4,8
24,1,2,2,2,2,2,2,2,2,2,3,8
25,1,1,1,1,1,2,1,1,1,3,5,8
26,1,2,1,2,2,2,2,2,2,2,4,8
27,1,2,2,2,2,2,2,2,2,2,4,8
28,1,2,2,2,2,2,2,2,2,2,3,8
29,1,1,1,1,1,1,1,1,1,3,4,8
30,1,1,1,1,1,1,1,1,1,1,4,8
31,1,1,1,2,1,-1,1,2,1,2,5,8
32,1,1,1,2,2,2,2,2,2,2,4,8
33,1,2,2,3,2,3,2,2,2,3,4,8
34,1,2,2,2,2,2,2,2,2,3,4,8
35,1,2,2,8,8,2,2,-1,3,2,7,8
36,1,2,2,7,2,2,2,-1,2,2,5,8
37,1,1,1,1,1,1,1,1,1,3,5,8
38,1,1,1,4,1,4,1,4,1,3,4,8
39,1,2,2,8,2,2,2,3,2,2,5,8
40,1,2,2,7,2,-1,2,-1,2,2,5,8
41,1,1,1,1,1,1,1,1,1,3,4,8
42,1,1,1,1,1,1,1,1,1,2,4,8
43,1,1,1,8,1,2,1,-1,1,2,5,8
44,1,1,1,7,1,-1,1,-1,1,1,6,8
45,1,1,1,1,1,1,1,1,1,2,5,8
46,1,1,1,2,1,4,1,2,1,2,4,8
47,1,1,1,2,1,2,2,2,2,1,5,8
48,1,1,1,2,2,2,2,2,2,1,3,8
49,1,1,1,3,1,3,1,1,1,3,5,8
50,1,1,1,5,1,1,1,4,1,2,4,8
51,1,1,1,8,2,-1,1,3,1,2,5,8
52,1,1,1,8,2,-1,1,4,2,1,5,8
1,2,0,0,0,0,0,0,0,0,3,4,8
2,2,0,0,0,0,0,0,0,0,4,4,8
3,2,1,0,1,0,1,0,1,0,4,4,8
4,2,0,0,0,0,0,0,0,0,4,5,8
5,2,1,1,1,1,1,1,1,1,2,5,8
6,2,1,1,1,1,1,1,1,1,2,3,8
7,2,1,0,1,0,1,0,1,0,4,4,8
8,2,2,1,2,1,2,1,2,1,3,4,8
9,2,1,1,1,1,1,1,1,1,1,4,8
10,2,1,1,1,1,1,1,1,1,1,4,8
11,2,1,1,1,1,1,1,1,1,3,4,8
12,2,2,1,2,1,2,1,2,1,3,3,8
13,2,1,1,1,1,1,1,1,1,2,4,8
14,2,1,1,1,1,1,1,1,1,2,4,8
15,2,5,1,5,1,1,1,1,1,4,5,8
16,2,1,1,1,1,1,1,1,1,4,4,8
17,2,1,1,1,1,1,1,1,1,1,4,8
18,2,1,1,1,1,1,1,1,1,1,4,8
19,2,1,1,1,1,1,1,1,1,3,5,8
20,2,1,1,2,1,1,1,1,1,3,4,8
21,2,2,1,2,1,2,1,2,1,3,4,8
22,2,2,2,2,2,2,2,2,2,2,3,8
23,2,2,2,2,2,2,2,2,2,2,4,8
24,2,2,2,2,2,2,2,2,2,2,2,8
25,2,1,1,1,1,1,1,1,1,3,4,8
26,2,1,1,1,1,1,1,1,1,2,4,8
27,2,2,1,2,2,2,2,2,2,2,5,8
28,2,2,1,2,2,2,2,2,2,2,3,8
29,2,1,1,1,1,1,1,1,1,2,4,8
30,2,1,1,1,1,1,1,1,1,1,3,8
31,2,1,1,1,1,1,1,1,1,1,4,8
32,2,1,1,1,1,2,1,2,1,1,4,8
33,2,2,0,2,0,2,0,2,0,4,5,8
34,2,2,2,2,2,2,2,2,2,2,4,8
35,2,2,2,2,2,2,2,2,2,2,4,8
36,2,2,2,2,2,2,2,2,2,2,4,8
37,2,1,1,1,1,1,1,1,1,3,5,8
38,2,1,1,3,1,2,1,3,1,3,5,8
39,2,2,1,2,2,2,2,2,2,2,4,8
40,2,2,2,2,2,2,2,2,2,2,3,8
41,2,1,1,1,1,1,1,1,1,2,5,8
42,2,1,1,1,1,1,1,1,1,2,5,8
43,2,1,1,1,1,1,1,1,1,1,4,8
44,2,1,1,2,1,2,1,2,1,1,4,8
45,2,1,1,1,1,1,1,1,1,2,4,8
46,2,1,1,1,1,1,1,1,1,1,3,8
47,2,1,1,2,1,1,1,2,1,1,5,8
48,2,1,1,2,1,2,1,3,2,1,4,8
49,2,1,1,2,1,2,1,2,1,2,5,8
50,2,1,1,4,1,3,1,4,1,2,4,8
51,2,1,1,8,3,2,1,3,2,2,5,8
52,2,1,1,2,1,1,1,2,1,1,4,8
1,3,0,0,0,0,0,0,0,0,4,4,8
2,3,0,0,0,0,0,0,0,0,4,4,8
3,3,0,0,0,0,0,0,0,0,4,5,8
4,3,1,1,2,1,1,1,1,1,4,5,8
5,3,1,1,1,1,1,1,1,1,2,4,8
6,3,1,1,1,1,1,1,1,1,2,4,8
7,3,1,1,1,1,1,1,1,1,3,4,8
8,3,1,1,1,1,1,1,1,1,3,4,8
9,3,1,1,1,1,1,1,1,1,1,4,8
10,3,1,1,1,1,1,1,1,1,1,4,8
11,3,1,1,1,1,1,1,1,1,3,4,8
12,3,1,1,1,1,1,1,1,1,3,4,8
13,3,1,1,1,1,1,1,1,1,3,4,8
14,3,1,1,1,1,1,1,1,1,1,3,8
15,3,1,1,1,1,1,1,1,1,4,4,8
16,3,2,2,2,2,2,2,2,2,3,4,8
17,3,1,1,1,1,1,1,1,1,1,4,8
18,3,1,1,1,1,1,1,1,1,1,3,8
19,3,1,1,2,1,1,1,2,1,3,5,8
20,3,2,2,2,2,2,2,2,2,3,4,8
21,3,2,2,2,2,2,2,2,2,2,4,8
22,3,2,2,2,2,2,2,2,2,2,4,8
23,3,2,2,2,2,2,2,2,2,2,3,8
24,3,2,2,2,2,2,2,2,2,2,3,8
25,3,1,1,2,1,1,1,1,1,3,4,8
26,3,2,1,2,2,2,2,2,2,2,4,8
27,3,1,1,2,2,2,2,2,2,2,4,8
28,3,2,2,2,2,2,2,3,2,2,3,8
29,3,1,1,1,1,1,1,1,1,1,5,8
30,3,1,1,1,1,1,1,1,1,2,3,8
31,3,1,1,1,1,1,1,1,1,1,4,8
32,3,1,1,1,1,2,1,2,1,1,4,8
33,3,2,2,3,2,2,2,3,2,3,4,8
34,3,2,2,2,2,2,2,2,2,2,3,8
35,3,2,2,3,2,2,2,2,2,2,4,8
36,3,2,2,2,2,2,2,2,2,2,3,8
37,3,1,1,3,1,1,1,3,1,3,4,8
38,3,2,1,2,2,2,2,2,1,2,3,8
39,3,1,1,2,2,2,2,2,2,2,4,8
40,3,2,2,2,2,2,2,2,2,2,3,8
41,3,1,1,1,1,1,1,1,1,3,4,8
42,3,1,1,1,1,1,1,1,1,2,3,8
43,3,1,1,1,1,2,1,2,1,2,4,8
44,3,1,1,2,2,2,2,2,2,2,3,8
45,3,1,1,1,1,1,1,1,1,1,5,8
46,3,1,1,2,1,2,1,2,1,2,4,8
47,3,1,1,1,1,1,1,1,1,1,4,8
48,3,1,1,2,1,2,1,2,2,1,3,8
49,3,1,1,1,1,1,1,1,1,2,4,8
50,3,1,1,2,2,2,1,2,1,2,4,8
51,3,1,1,1,1,1,1,1,1,1,4,8
52,3,1,1,2,2,2,1,2,2,1,3,8
1,4,2,0,2,0,2,0,2,0,4,5,8
2,4,5,0,6,1,1,0,1,1,4,5,8
3,4,2,0,2,0,2,0,1,0,4,5,8
4,4,5,0,5,0,2,0,2,0,4,5,8
5,4,1,1,1,1,1,1,1,1,2,4,8
6,4,1,1,1,1,1,1,1,1,1,3,8
7,4,3,1,3,1,3,1,1,1,3,4,8
8,4,2,2,4,2,-1,1,4,1,4,4,8
9,4,1,1,1,1,1,1,1,1,1,4,8
10,4,1,1,1,1,1,1,1,1,1,4,8
11,4,1,1,1,1,1,1,1,1,3,4,8
12,4,2,2,5,2,-1,2,-1,1,3,4,8
13,4,1,1,1,1,1,1,1,1,3,5,8
14,4,1,1,1,1,1,1,1,1,1,4,8
15,4,2,1,2,1,2,1,1,1,3,4,8
16,4,2,2,3,2,3,2,3,1,3,4,8
17,4,1,1,1,1,1,1,1,1,1,5,8
18,4,1,1,1,1,1,1,1,1,1,4,8
19,4,2,1,2,1,2,1,2,1,3,5,8
20,4,2,2,3,2,3,2,3,2,3,4,8
21,4,2,2,2,2,2,2,2,2,3,4,8
22,4,2,2,2,2,2,2,2,2,2,4,8
23,4,2,2,2,2,2,2,2,2,2,4,8
24,4,2,2,2,2,2,2,3,2,2,4,8
25,4,1,1,1,1,1,1,1,1,2,3,8
26,4,1,1,2,1,2,1,2,1,2,4,8
27,4,1,1,2,2,2,2,2,2,2,5,8
28,4,2,2,2,2,2,2,2,2,2,4,8
29,4,1,1,1,1,1,1,1,1,2,4,8
30,4,1,1,1,1,1,1,1,1,1,4,8
31,4,1,1,1,1,1,1,2,1,1,5,8
32,4,1,1,2,1,2,1,2,2,1,4,8
33,4,2,2,2,2,2,2,2,2,3,4,8
34,4,2,2,2,2,2,2,2,2,2,5,8
35,4,2,2,2,2,2,2,2,2,2,5,8
36,4,2,2,2,2,2,2,2,2,2,5,8
37,4,1,1,3,2,2,1,2,1,3,4,8
38,4,2,2,2,2,2,2,2,2,2,4,8
39,4,2,2,2,2,2,2,2,2,2,4,8
40,4,2,2,2,2,2,2,2,2,2,4,8
41,4,1,1,1,1,1,1,1,1,3,5,8
42,4,1,1,2,1,1,1,2,1,2,4,8
43,4,1,1,2,2,2,2,2,2,2,4,8
44,4,1,1,2,2,2,1,2,2,1,4,8
45,4,1,1,1,1,1,1,1,1,2,4,8
46,4,1,1,1,1,2,1,2,1,2,4,8
47,4,1,1,2,1,2,1,2,1,1,5,8
48,4,1,1,2,2,2,2,2,2,1,4,8
49,4,1,1,3,1,1,1,2,1,3,4,8
50,4,1,1,4,2,3,1,4,2,2,4,8
51,4,1,1,3,2,2,1,2,2,1,5,8
52,4,1,1,2,2,2,1,2,2,1,5,8
1,5,1,1,5,1,-1,1,2,1,4,5,8
2,5,4,0,4,0,4,0,4,0,4,4,8
3,5,5,0,5,0,1,0,1,0,4,5,8
4,5,0,0,4,0,0,0,3,0,4,4,8
5,5,2,1,2,2,2,2,2,2,3,4,8
6,5,1,1,2,1,2,1,2,1,2,4,8
7,5,2,1,2,1,2,1,2,1,3,4,8
8,5,3,2,3,2,3,2,3,2,3,4,8
9,5,1,1,1,1,1,1,1,1,1,4,8
10,5,1,1,1,1,2,1,2,1,1,4,8
11,5,2,2,2,2,2,2,2,1,3,4,8
